steering_strength,generated_text,flesch_kincaid_grade,flesch_reading_ease,avg_sentence_length,avg_syllables_per_word,sentence_count,word_count
-5.0,Quantum mechanics is a really big and really really really big thing that really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really,85.26422110552764,-161.79924623115576,199.0,1.9698492462311559,1,199
-4.75,Quantum mechanics is a really big and really really really big thing that really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really,85.26422110552764,-161.79924623115576,199.0,1.9698492462311559,1,199
-4.5,Quantum mechanics is a really big and really really really big thing that really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really,85.26422110552764,-161.79924623115576,199.0,1.9698492462311559,1,199
-4.25,Quantum mechanics is a really big and really really really big thing that really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really,85.26422110552764,-161.79924623115576,199.0,1.9698492462311559,1,199
-4.0,Quantum mechanics is a really big and really really really big thing that really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really,85.26422110552764,-161.79924623115576,199.0,1.9698492462311559,1,199
-3.75,Quantum mechanics is a really big and really really really big thing that really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really,85.26422110552764,-161.79924623115576,199.0,1.9698492462311559,1,199
-3.5,Quantum mechanics is a branch of physics that deals with the behavior of really small things like atoms and particles that make up everything around us. It really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really,45.785656565656566,-56.868181818181796,99.0,1.9292929292929293,2,198
-3.25,"Quantum mechanics is a branch of physics that deals with the behavior of really small things like atoms and particles that make up everything around us. It's a really weird and really cool way of thinking about the tiny things that we can't really see.

**What is the big picture?**

In the big picture, things like you and your stuff are made up of really tiny things called atoms, which are like tiny building blocks that make things like you and things you can see like your stuff. Atoms are made up of even smaller things called electrons, which are like tiny things that zip around really fast.

**The weird things about tiny things**

Here are some really weird things about tiny things:

* **They don't really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really",14.072222222222226,47.60500000000005,30.0,1.5222222222222221,6,180
-3.0,"Quantum mechanics is a branch of physics that deals with the behavior of really small things like atoms and particles that make up everything around us. It's a really weird and really cool way of thinking about the tiny things that we can't really see.

**What is the big picture?**

In the big picture, things like you and your friends are made up of tiny things called atoms, which are like tiny building blocks that make up everything around you. Atoms are like tiny things that are too small to see, but they make up everything you can see.

**The weird things about tiny things**

When things get really small, like really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really really",15.004453551912569,41.8119262295082,30.5,1.5846994535519126,6,183
-2.75,"Quantum mechanics is a branch of physics that deals with the behavior of matter and energy at the smallest scales, such as atoms and subatomic particles like electrons and photons. It is a really big and really weird thing, so I'll try to break it down in a way that's easy to understand.

**The weird things about big things**

You know how things can be big and things can be small? Like how you can see big things like trees and cars, but you can't see really small things like atoms and things you can only see things like really big things like really big things like really big things like really big things like really big things like really big things like really big things like really big things like really big things like really big things like really big things like really big things like really big things like really big things like really big things like really big things like really big things like really big things like really big things like really big things like really big things like really big things like",17.597580213903743,52.16342914438506,46.75,1.267379679144385,4,187
